,session_start,session_end
221,2017-04-20 04:00:00,2017-04-20 04:05:00
222,2017-04-20 04:40:00,2017-04-20 04:45:00
223,2017-04-20 05:00:00,2017-04-20 05:00:00
224,2017-04-20 05:20:00,2017-04-20 05:20:00
225,2017-04-20 08:05:00,2017-04-20 08:35:00
226,2017-04-20 08:50:00,2017-04-20 08:50:00
227,2017-04-20 09:05:00,2017-04-20 09:05:00
228,2017-04-21 01:00:00,2017-04-21 01:00:00
229,2017-04-21 04:25:00,2017-04-21 04:35:00
230,2017-04-22 19:10:00,2017-04-22 19:25:00
231,2017-04-22 19:35:00,2017-04-22 19:35:00
232,2017-04-24 11:00:00,2017-04-24 11:00:00
233,2017-04-25 07:15:00,2017-04-25 07:15:00
234,2017-04-26 11:50:00,2017-04-26 11:50:00
235,2017-04-27 04:10:00,2017-04-27 04:10:00
236,2017-04-27 16:25:00,2017-04-27 16:25:00
237,2017-04-28 02:05:00,2017-04-28 02:05:00
238,2017-04-28 17:30:00,2017-04-28 18:45:00
239,2017-04-29 00:30:00,2017-04-29 01:15:00
240,2017-04-29 14:00:00,2017-04-29 14:10:00
241,2017-04-29 14:35:00,2017-04-29 14:35:00
242,2017-05-01 08:50:00,2017-05-01 08:50:00
243,2017-05-01 09:10:00,2017-05-01 09:15:00
244,2017-05-01 13:10:00,2017-05-01 13:10:00
245,2017-05-06 03:35:00,2017-05-06 03:50:00
246,2017-05-06 04:00:00,2017-05-06 04:00:00
247,2017-05-06 15:15:00,2017-05-06 15:15:00
248,2017-05-09 12:10:00,2017-05-09 12:25:00
249,2017-05-09 12:35:00,2017-05-09 12:40:00
250,2017-05-09 12:50:00,2017-05-09 13:10:00
251,2017-05-09 13:25:00,2017-05-09 13:30:00
252,2017-05-10 00:00:00,2017-05-10 00:00:00
253,2017-05-10 01:00:00,2017-05-10 01:00:00
254,2017-05-10 01:10:00,2017-05-10 01:10:00
255,2017-05-10 01:25:00,2017-05-10 01:45:00
256,2017-05-11 18:50:00,2017-05-11 19:00:00
257,2017-05-15 02:15:00,2017-05-15 02:15:00
258,2017-05-15 08:25:00,2017-05-15 08:30:00
259,2017-05-15 08:45:00,2017-05-15 08:45:00
260,2017-05-15 13:35:00,2017-05-15 14:00:00
261,2017-05-15 14:10:00,2017-05-15 14:10:00
262,2017-05-15 14:25:00,2017-05-15 14:25:00
263,2017-05-15 14:35:00,2017-05-15 14:40:00
264,2017-05-17 11:50:00,2017-05-17 11:50:00
265,2017-05-18 08:00:00,2017-05-18 08:00:00
266,2017-05-18 23:35:00,2017-05-18 23:35:00
267,2017-05-18 23:45:00,2017-05-18 23:45:00
268,2017-05-19 00:05:00,2017-05-19 00:10:00
269,2017-05-19 00:20:00,2017-05-20 09:20:00
270,2017-05-20 10:20:00,2017-05-20 10:30:00
271,2017-05-20 10:40:00,2017-05-20 13:05:00
272,2017-05-20 15:25:00,2017-05-20 15:40:00
273,2017-05-20 15:50:00,2017-05-20 19:00:00
274,2017-05-20 19:10:00,2017-05-20 23:30:00
275,2017-05-21 00:00:00,2017-05-21 00:05:00
276,2017-05-21 11:50:00,2017-05-21 11:50:00
277,2017-05-21 18:40:00,2017-05-21 18:40:00
278,2017-05-22 00:25:00,2017-05-22 00:30:00
279,2017-05-25 16:50:00,2017-05-25 16:50:00
280,2017-05-26 10:20:00,2017-05-26 10:20:00
281,2017-05-29 05:55:00,2017-05-29 05:55:00
282,2017-05-29 20:00:00,2017-05-29 20:00:00
283,2017-05-29 20:10:00,2017-05-30 23:00:00
284,2017-05-31 00:05:00,2017-05-31 00:10:00
285,2017-05-31 00:50:00,2017-05-31 00:50:00
286,2017-05-31 01:00:00,2017-05-31 01:15:00
287,2017-05-31 01:40:00,2017-05-31 01:40:00
288,2017-05-31 02:25:00,2017-05-31 02:25:00
289,2017-05-31 02:35:00,2017-05-31 02:40:00
290,2017-05-31 02:50:00,2017-05-31 02:50:00
291,2017-05-31 03:30:00,2017-05-31 03:30:00
292,2017-05-31 03:40:00,2017-05-31 03:40:00
293,2017-05-31 03:50:00,2017-05-31 03:50:00
294,2017-05-31 04:00:00,2017-05-31 04:00:00
295,2017-05-31 05:35:00,2017-05-31 05:35:00
296,2017-05-31 17:45:00,2017-05-31 20:10:00
297,2017-05-31 20:30:00,2017-06-01 00:40:00
298,2017-06-01 00:50:00,2017-06-01 00:50:00
299,2017-06-01 01:05:00,2017-06-01 01:05:00
300,2017-06-01 01:15:00,2017-06-01 01:30:00
301,2017-06-01 02:05:00,2017-06-01 02:05:00
302,2017-06-01 02:15:00,2017-06-01 02:40:00
303,2017-06-01 08:15:00,2017-06-01 09:35:00
304,2017-06-01 09:45:00,2017-06-01 09:55:00
305,2017-06-01 10:15:00,2017-06-01 10:15:00
306,2017-06-01 10:35:00,2017-06-01 10:35:00
307,2017-06-01 11:05:00,2017-06-01 11:10:00
308,2017-06-01 11:40:00,2017-06-01 11:40:00
309,2017-06-01 12:25:00,2017-06-01 12:25:00
310,2017-06-01 21:45:00,2017-06-01 21:50:00
311,2017-06-03 16:05:00,2017-06-03 17:10:00
312,2017-06-03 17:20:00,2017-06-03 17:20:00
313,2017-06-03 17:30:00,2017-06-03 17:45:00
314,2017-06-03 18:00:00,2017-06-03 18:05:00
315,2017-06-03 18:15:00,2017-06-03 18:15:00
316,2017-06-03 18:50:00,2017-06-03 18:50:00
317,2017-06-04 13:50:00,2017-06-04 13:50:00
318,2017-06-04 16:00:00,2017-06-04 17:00:00
319,2017-06-04 17:10:00,2017-06-04 17:10:00
320,2017-06-04 17:20:00,2017-06-04 17:20:00
321,2017-06-04 18:00:00,2017-06-04 18:00:00
